,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
49,2000-03-13,1601.4,1645.0,1553.45,1560.7,32025029,2000,-35.0,Downtrend,0.0,35.0,99.38667433842815,-0.10535970192032096,10744831,1698.971007488758,0
50,2000-03-14,1561.55,1571.3,1503.2,1567.05,37965722,2000,-73.0,Downtrend,0.0,73.0,99.55551635834637,-0.07958650259904265,48710553,1689.5480292224486,0
51,2000-03-15,1546.8,1630.95,1538.7,1620.1,28895834,2000,59.0,Uptrend,59.0,0.0,99.30552581144315,-0.05318216352054239,77606387,1681.2468013380274,1
52,2000-03-16,1620.4,1621.2,1554.3,1562.2,33981961,2000,-9.0,Downtrend,0.0,9.0,99.33320844098506,-0.10326617300958607,43624426,1676.8830190592114,0
53,2000-03-21,1563.3,1585.25,1542.65,1556.6,30768798,2000,-35.0,Downtrend,0.0,35.0,99.43047451112754,-0.09384095936663173,12855628,1667.6876507459513,0
54,2000-03-22,1551.05,1604.0,1551.05,1589.6,26938367,2000,18.0,Uptrend,18.0,0.0,99.34629547256218,-0.09347020245223847,39793995,1660.326297068282,1
55,2000-03-23,1590.3,1629.2,1544.5,1553.4,21308741,2000,25.0,Uptrend,25.0,0.0,99.21707326423814,-0.10675368735804025,18485254,1653.4759760330162,1
56,2000-03-24,1554.2,1579.4,1540.45,1569.55,15407574,2000,-49.0,Downtrend,0.0,49.0,99.38612084573884,-0.07477599622730491,33892828,1645.421177627824,0
57,2000-03-27,1570.45,1593.3,1555.75,1562.95,19049762,2000,13.0,Uptrend,13.0,0.0,99.32198754415404,-0.09760392609699764,14843066,1641.1541888513498,1
58,2000-03-28,1563.3,1575.85,1527.55,1568.6,28174402,2000,-17.0,Downtrend,0.0,17.0,99.37865589686137,-0.08293139232365765,43017468,1635.143459240381,0
59,2000-03-29,1569.3,1609.4,1553.4,1558.25,32288722,2000,33.0,Uptrend,33.0,0.0,99.19664946311462,-0.09538184668079297,10728746,1629.6823442156578,1
60,2000-03-30,1556.95,1557.85,1489.1,1549.5,38871150,2000,-51.0,Downtrend,0.0,51.0,99.3848007031379,-0.06363306744017405,-28142404,1621.8357625259262,0
61,2000-03-31,1545.55,1545.55,1493.9,1528.45,49680971,2000,-12.0,Downtrend,0.0,12.0,99.41995877072013,-0.10757867694283874,-77823375,1614.5036172884954,0
62,2000-04-03,1528.7,1555.5,1510.75,1534.75,50909584,2000,9.0,Uptrend,9.0,0.0,99.37180242329512,-0.09537001561993452,-26913791,1601.61605009355,1
63,2000-04-04,1534.05,1534.05,1420.85,1428.1,42180348,2000,-21.0,Downtrend,0.0,21.0,99.44009642501858,-0.13762077294685993,-69094139,1589.7811538440408,0
64,2000-04-05,1428.5,1467.4,1391.65,1434.65,49400946,2000,-66.0,Downtrend,0.0,66.0,99.59259833419753,-0.1503405389398874,-19693193,1576.0608084616765,0
65,2000-04-06,1436.15,1475.25,1381.05,1452.95,40869843,2000,7.0,Uptrend,7.0,0.0,99.56008896551003,-0.14670386140067537,21176650,1559.8638090602897,1
66,2000-04-07,1453.3,1558.05,1453.3,1557.15,49468064,2000,82.0,Uptrend,82.0,0.0,99.1391781919771,-0.06553245116572137,70644714,1545.2722486891216,1
67,2000-04-10,1557.55,1636.95,1557.55,1613.0,67959549,2000,78.0,Uptrend,78.0,0.0,98.6966545417544,-0.020197418375094922,138604263,1540.7477155582444,1
68,2000-04-11,1613.0,1631.6,1550.85,1624.65,34966347,2000,-5.0,Downtrend,0.0,5.0,98.73597194564768,0.013664014974263061,173570610,1543.5040368901366,0
69,2000-04-12,1624.4,1628.55,1586.0,1592.7,35323588,2000,-3.0,Downtrend,0.0,3.0,98.76075336986085,0.020503620170436276,138247022,1545.4632586933903,0
70,2000-04-13,1587.95,1587.95,1502.7,1518.65,20985552,2000,-40.0,Downtrend,0.0,40.0,99.03799708916033,-0.03088605979388015,117261470,1547.070826220115,0
71,2000-04-17,1518.55,1518.55,1412.45,1443.55,47786700,2000,-69.0,Downtrend,0.0,69.0,99.32426785997679,-0.10897475464477502,69474770,1545.182209505572,0
72,2000-04-18,1443.55,1478.85,1410.0,1414.8,30055064,2000,-39.0,Downtrend,0.0,39.0,99.42955043074191,-0.09435411599027022,39419706,1535.6463138304978,0
